date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
2/10/1965,"Houston, Pennsylvania",flying object,debris in wind,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8690593-Houston-Pennsylvania.pdf,-80.2114472,40.2464593,#c713e7,medium,cross
01/01/1965,"Norfolk, Virginia",flying object,Astro(meteor shower),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722344-Norfolk-Virginia.pdf,-76.2481624,36.8889933,#122c87,medium,lighthouse
02/01/1965,"Village Hall, Rockdale, Illinois",light,insufficient data,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722353-%5BILLEGIBLE%5D.pdf,-88.1145036,41.506142,#f90105,medium,triangle-stroked
04/01/1965,"Morton, Illinois",flying object,Astro(Mars),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722377-Morton-Illinois.pdf,-89.459323,40.6127349,#122c87,medium,lighthouse
04/01/1965,"Bethel, Vermont",,tracer bullets,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722383-Bethel-Vermont.pdf,-72.634048,43.833536,#c713e7,medium,cross
05/01/1965,"Wallops Island,Virginia",light,insufficient data,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722450-WallopsIsland-Virginia.pdf,-75.4561665705755,37.88387115,#f90105,medium,triangle-stroked
05/01/1965,"Lynchburg, Virginia",light,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722474-Lynchburg-Virginia.pdf,-79.1844923945909,37.40088,#f90105,medium,triangle-stroked
08/01/1965,"Georgetown, South Carolina",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722482-Georgetown-SouthCarolina.pdf,-79.2944965,33.376834,#319f1d,medium,airport
10/01/1965,"Silver Springs, Maryland",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722502-SilverSprings-Maryland.pdf,-76.910115,38.821017,#122c87,medium,lighthouse
10/01/1965,"South Boston, Virginia",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722514-SouthBoston-Virginia.pdf,-78.9013987,36.6987494,#122c87,medium,lighthouse
10/01/1965,"Pleasant Hill, Ohio",flying object,Astro(Jupiter),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722521-PleasantHill-Ohio.pdf,-82.5079357,39.6714539,#122c87,medium,lighthouse
13/01/1965,New Zealand ,landing,contrails,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722540-41S167E-BetweenNewZealand-Australia-.pdf,172.8344077,-41.5000831,#c713e7,medium,cross
14/01/1965,"Mammoth, Arizona",light,unreliable report,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722561-Mammoth-Arizona.pdf,-110.6406547,32.722568,#c713e7,medium,cross
14/01/1965,"Thaxton,Virginia",witness,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722576-Thaxton-Virginia.pdf,-79.6164233,37.3529172,#319f1d,medium,airport
18/01/1965,"Buchanan,Virginia",flying object,unreliable report,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722606-Buchanan-Virginia.pdf,-82.0320334,37.2600448,#c713e7,medium,cross
18/01/1965,"Santa Barbara, California",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722622-SantaBarbara-California.pdf,-119.7026673,34.4221319,#319f1d,medium,airport
19/01/1965,"Norwalk, California",light,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722632-Norwalk-California.pdf,-118.0849169,33.9092802,#f90105,medium,triangle-stroked
20/01/1965,"Long Beach, Mississippi",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722646-LongBeach-Mississippi.pdf,-89.1528176,30.3504751,#319f1d,medium,airport
21/01/1965,"Richmond,Virginia",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722663-Richmond-Virginia.pdf,-77.43428,37.5385087,#319f1d,medium,airport
22/01/1965,"Baltimore,Maryland",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722696-Baltimore-Maryland.pdf,-76.610759,39.2908816,#319f1d,medium,airport
22/01/1965,"Elkins, West Virginia",light,Astro(sun dog),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722674-Elkins-WestVirginia.pdf,-79.8466552,38.925927,#122c87,medium,lighthouse
23/01/1965,"Williamsburg,Virginia",witness,unidentified,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722735-Williamsburg-Virginia.pdf,-76.7074042,37.2708788,#c713e7,medium,cross
24/01/1965,"Alaska",witness,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722951-ALASKA.pdf,-149.680909,64.4459613,#319f1d,medium,airport
25/01/1965,"Bedford,Virginia",flying object,unreliable report,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8722990-Bedford-Virginia.pdf,-79.5399003,37.3123905,#c713e7,medium,cross
25/01/1965,"Miami, Florida",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-01-8723022-Miami-Florida.pdf,-80.1936589,25.7742658,#319f1d,medium,airport
