xe…,наш:INCL
xe,наш:INCL
tuχum-ar,тухум-PL
siftːa,сначала
nij-sa-as…,какой-LOC-(IN)ELAT
geqün-ar.i-as,Буркихан-PL-(IN)ELAT
ad-i-naje-tː-ar,приходить-PF-PT:PRF-S-PL
e,COP
ʁ-a-a,говорить-IPF-PRS
rus,но
ad-i-n-čin,приходить-PF-AOR-COND
ti-č,DEMT-LAT
ha-te,EM-DEMT
wäʕda.ji,время(TMR)
ad-i-naje-f-e,приходить-PF-PT:PRF-S-COP
šaʕban,Шахбан
siftːa,сначала
šaʕban,Шахбан
ad-i-na,приходить-PF-CONV
šaʕban,Шахбан
jašamiš,<жить>
x-u-naa,стать-PF-PRF
aχpːa,потом
šaʕban.a-s,Шахбан-DAT
x-u-naa,стать-PF-PRF
li-sa-ʔ,DEML-LOC-IN
musa,Муса
aʁ-a-tː-ar,говорить-IPF-S-PL
musa,Муса
aʁ-a-jde,говорить-IPF-PT:HAB
gada,сын
musa.ji,Муса(GEN)
χizan-ar,семья-PL
x-u-ne,стать-PF-AOR
musa-jar,Муса-PL
alatːarx-u-na-l-as,{SUPER-ELAT}попадать-PF-CONV-SUPER-ELAT
χab,назад
aχpːa,потом
ramazan=na,Рамазан=ADD
qa-x-u-naje-f-e,RE-стать-PF-PT:PRF-S-COP
ramazn-ar,Рамазан-PL
x-u-ne,стать-PF-AOR
aχpːa,потом
ʜaǯi-χi…,[Гаджи-Хиби]
ʜaǯi-χibi,Гаджи-Хиби
aʁ-a-tː-ar,говорить-IPF-S-PL
x-u-ne,стать-PF-AOR
aχpːa,потом
ʡali-jar,Али-PL
x-u-ne,стать-PF-AOR
ʡali,Али
ʡali-n,Али-GEN
tuχum…,тухум
ʜaǯi-χibi-tː-ar,Гаджи-Хиби(GEN)-S-PL
x-u-ne,стать-PF-AOR
kistːar,Кистар
rus,уже
ge-wur,DEMG-PL
rus,<отделять>
x-u-ne,стать-PF-AOR
ha-le,EM-DEML
tuχum.di-k-as,тухум-SUB/CONT-ELAT
aχpːa,потом
xe-tː-ar,наш:INCL-S-PL
x-u-ne,стать-PF-AOR
ʡali-jar,Али-PL
ʡali-war.i-n,Али-PL-GEN
šaʕbut-ar,Шахбут-PL
nu,ну
šaʕbut,Шахбут
rus,просто
šaʕbut,Шахбут
aʁ-a-j,говорить-IPF-CONV
x-u-ne,стать-PF-AOR
mi-s,DEMM-DAT
mi-q-tːi,DEMM-POST-LAT
at-u-ne,{IN}пускать-PF-AOR
šaʕbut.a-n,Шахбут-GEN
tːur,имя
ge,DEMG
ʜaǯi-χibi-jar,Гаджи-Хиби-PL
k’ildi,целиком
ǯüre,отдельный
x-u-ne,стать-PF-AOR
aχpːa,потом
e-j-čin=na,COP-CONV-COND=ADD
me,DEMM
ʡu,два
ču-jar,брат-PL
e-j-čin=na,COP-CONV-COND=ADD
ge-wur.i,DEMG-PL(ERG)
ge,DEMG
kistːar.i-n-f,Кистар-GEN-S
kistːar.i,Кистар(ERG)
alix-i-ne,{SUPER}класть-PF-AOR
šaʕban,Шахбан
aʁ-a-jde,говорить-IPF-PT:HAB
tːur,имя
čupː.i-n,сам:PL-GEN
gada.ji-l,сын-SUPER
q’aban.i-n,Кабанай-GEN
ʜaǯi-χibi-n,Гаджи-Хиби-GEN
gada.ji-l,сын-SUPER
ʜaǯi-χibi-n,Гаджи-Хиби-GEN
gada,сын
ij,COP:PST
q’abanaj,Кабанай
q’aban.i,Кабанай(GEN)
gada,сын
ij,COP:PST
šaʕban,Шахбан
q’abanaj…,Кабанай
rus,революция
x-a-stːi,стать-IPF-TERM
nu,ну
rus,грамотный
insan,человек
ij=ʁaj,COP:PST=RPT
lik’-i-b –,писать-PF-MSD
ket-u-b,{SUB/CONT}пускать-PF-MSD
ʜa-je,знать-PT:PRS
rus,революция
x-u-guna,стать-PF-TEMP
rus,семнадцатый
rus.di-l-as,год-SUPER-ELAT
χab,назад
q’aban.i,Кабанай(GEN)
dars-ar,урок-PL
i-naje-f-e,давать:PF-PT:PRF-S-COP
xe,наш:INCL
ʜür.i-ʔ,село-IN
wow-le,OST-DEML
na-n,кто-GEN
ʜüristː.a-n,Гюризат-GEN
xar,пекарня
a-du,{IN}быть-PRS:NEG:Q
ha-le,EM-DEML
xur.a-k,пекарня-SUB/CONT
dars-ar,урок-PL
ic’-a-j,давать-IPF-CONV
x-u-naa,стать-PF-PRF
ʜarf-ar,буква-PL
ʜar-aq’-a-j,знать-делать-IPF-CONV
χalq’-ar.i-s,народ-PL-DAT
